run_id,strategy_name,universe,created_at_utc,data_path,weight_lag,tag,params
20260201_193426_95a6098b_BuyHold_XLE,BuyHold,XLE,2026-02-01T19:34:26.579819+00:00,data/gold/freq=1D/tag=trade-next-day/table.parquet,1,,{}
20260201_193427_37b8d48a_StateSignal_XLE,StateSignal,XLE,2026-02-01T19:34:27.280926+00:00,data/gold/freq=1D/tag=trade-same-day-12/table.parquet,1,rv_regime_15m_12 PM ET_XLE_rvol,"{""state_var"": ""XLE_rvol"", ""trade_time_et"": ""12 PM ET"", ""w_high"": 1.0, ""w_low"": 0}"
20260201_193427_57760e3f_StateSignal_XLE,StateSignal,XLE,2026-02-01T19:34:27.749615+00:00,data/gold/freq=1D/tag=trade-same-day-12/table.parquet,1,rv_regime_15m_12 PM ET_XLE_garch_sigma_ann_next,"{""state_var"": ""XLE_garch_sigma_ann_next"", ""trade_time_et"": ""12 PM ET"", ""w_high"": 1.0, ""w_low"": 0}"
20260201_193428_96b4cb66_StateSignal_XLE,StateSignal,XLE,2026-02-01T19:34:28.439022+00:00,data/gold/freq=1D/tag=trade-same-day-12/table.parquet,1,rv_regime_15m_12 PM ET_XLE_ewma_sigma_ann_next,"{""state_var"": ""XLE_ewma_sigma_ann_next"", ""trade_time_et"": ""12 PM ET"", ""w_high"": 1.0, ""w_low"": 0}"
20260201_193429_467820e7_StateSignal_XLE,StateSignal,XLE,2026-02-01T19:34:29.147297+00:00,data/gold/freq=1D/tag=trade-same-day-3/table.parquet,1,rv_regime_15m_3PM ET_XLE_rvol,"{""state_var"": ""XLE_rvol"", ""trade_time_et"": ""3PM ET"", ""w_high"": 1.0, ""w_low"": 0}"
20260201_193429_0a830b80_StateSignal_XLE,StateSignal,XLE,2026-02-01T19:34:29.612074+00:00,data/gold/freq=1D/tag=trade-same-day-3/table.parquet,1,rv_regime_15m_3PM ET_XLE_garch_sigma_ann_next,"{""state_var"": ""XLE_garch_sigma_ann_next"", ""trade_time_et"": ""3PM ET"", ""w_high"": 1.0, ""w_low"": 0}"
20260201_193430_d8da53d6_StateSignal_XLE,StateSignal,XLE,2026-02-01T19:34:30.302616+00:00,data/gold/freq=1D/tag=trade-same-day-3/table.parquet,1,rv_regime_15m_3PM ET_XLE_ewma_sigma_ann_next,"{""state_var"": ""XLE_ewma_sigma_ann_next"", ""trade_time_et"": ""3PM ET"", ""w_high"": 1.0, ""w_low"": 0}"
20260201_193430_47aa49ab_StateSignal_XLE,StateSignal,XLE,2026-02-01T19:34:30.999586+00:00,data/gold/freq=1D/tag=trade-next-day/table.parquet,1,rv_regime_15m_9 AM ET Next Day_XLE_rvol,"{""state_var"": ""XLE_rvol"", ""trade_time_et"": ""9 AM ET Next Day"", ""w_high"": 1.0, ""w_low"": 0}"
20260201_193431_8feb5101_StateSignal_XLE,StateSignal,XLE,2026-02-01T19:34:31.467788+00:00,data/gold/freq=1D/tag=trade-next-day/table.parquet,1,rv_regime_15m_9 AM ET Next Day_XLE_garch_sigma_ann_next,"{""state_var"": ""XLE_garch_sigma_ann_next"", ""trade_time_et"": ""9 AM ET Next Day"", ""w_high"": 1.0, ""w_low"": 0}"
20260201_193432_85ab9324_StateSignal_XLE,StateSignal,XLE,2026-02-01T19:34:32.164091+00:00,data/gold/freq=1D/tag=trade-next-day/table.parquet,1,rv_regime_15m_9 AM ET Next Day_XLE_ewma_sigma_ann_next,"{""state_var"": ""XLE_ewma_sigma_ann_next"", ""trade_time_et"": ""9 AM ET Next Day"", ""w_high"": 1.0, ""w_low"": 0}"
